Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person
12,4,4.2,male,500,4.5,PUMA,0.8,200,No,winter,plains,0.9
8,2,3.8,female,3000,3.2,Lee,-0.4,300,Yes,monsoon,mountains,0.2
25,10,4.5,female,600,4.8,Head Hunters,0.6,1000,No,spring,plains,0.7
6,1,2.1,female,100,2.5,Johnson & Johnson,0.1,300,No,summer,coastal,0.1
18,5,4.7,male,2000,4.3,Wakefit,0.9,700,Yes,winter,plains,0.8
0,0,0,male,1000,0.0,Dabur Chyawanprash,-0.7,1000,No,winter,mountains,0.0
38,15,4.9,female,700,4.9,Manyavar Mohey,0.95,700,No,summer,plains,1.0
7,3,3.4,male,5000,3.7,Pepperfry,0.2,900,No,winter,coastal,0.3
4,0,1.5,male,900,1.8,Lee Cooper,-0.3,400,No,monsoon,mountains,0.05
10,4,3.9,female,300,4.1,Libram,0.7,200,Yes,spring,plains,0.6
42,18,4.6,male,300,4.7,Flying Machine,0.85,600,No,summer,plains,0.95
20,8,4.3,female,1000,4.4,SleepyCat,0.75,1000,Yes,summer,coastal,0.85
5,2,2.8,male,8000,3.0,Streax,-0.5,500,Yes,summer,plains,0.1
31,12,4.8,female,400,4.6,Lakme Ayurveda,0.85,600,No,winter,plains,0.9
2,1,2.0,male,4000,2.2,Forest Essentials,-0.2,200,Yes,summer,mountains,0.05
17,7,4.1,female,900,4.2,Dove Hair,0.8,100,Yes,winter,plains,0.7
14,6,3.6,male,200,3.4,Pepe Jeans London,0.3,900,No,summer,plains,0.4
9,3,3.3,female,2000,3.5,The Moms Co.,0.4,800,No,winter,plains,0.5
23,9,4.0,male,6000,4.2,Himalaya Liv.52,0.9,600,Yes,winter,mountains,0.9
3,1,1.7,male,500,2.0,Wildcraft,-0.1,700,No,monsoon,mountains,0.05
28,11,4.5,female,7000,4.5,Godrej Interio,0.9,10000,Yes,winter,mountains,1.0
16,6,3.7,male,700,3.8,Patanjali Ayurved (Health Care),0.6,300,No,monsoon,mountains,0.6
11,5,4.2,female,100,4.3,Lijoba,0.85,200,Yes,spring,plains,0.8
36,14,4.7,male,100,4.6,Moov,0.7,900,No,summer,plains,0.85
19,8,4.4,female,4000,4.5,Kama Ayurveda,0.8,800,No,summer,coastal,0.9
22,9,4.6,female,3000,4.7,Urban Ladder,0.85,800,No,winter,plains,0.9
13,5,3.5,male,800,3.6,Allen Solly Woman,0.6,400,Yes,winter,plains,0.7
8,3,2.9,female,200,3.0,Lee Cooper,0.1,300,No,summer,mountains,0.05
